2023-08-21 21:11:27,041 INFO [default] 194 | gaeactortransmit::GaeactorTransmitProcessor::dealChannelObject | LaViCDesktop append subscribers service:gaeactor_channel_service instance:gaeactor_channel_instance event:125 total count:1
2023-08-21 21:35:22,338 INFO [default] 194 | gaeactortransmit::GaeactorTransmitProcessor::dealChannelObject | LaViCDesktop append subscribers service:gaeactor_channel_service instance:gaeactor_channel_instance event:9 total count:1
2023-12-05 19:41:05,383 INFO [default] 355 | gaeactortransmit::GaeactorTransmitProcessor::createPublisherChannel | LaViCDesktop append reuse publishers service:LaViCDesktop_transmit_channel_service instance:transmit_channel_instance event:3038912512 total count:1
2023-12-19 18:23:13,859 INFO [default] 261 | gaeactortransmit::GaeactorTransmitProcessor::dealChannelObject | LaViCDesktop append subscribers service:gaeactor_transmit_channel_service instance:transmit_channel_instance event:14819328 total count:1
2023-12-19 18:23:13,860 INFO [default] 261 | gaeactortransmit::GaeactorTransmitProcessor::dealChannelObject | LaViCDesktop append subscribers service:gaeactor_transmit_channel_service instance:transmit_channel_instance event:3617726464 total count:2
2023-12-19 18:23:13,860 INFO [default] 261 | gaeactortransmit::GaeactorTransmitProcessor::dealChannelObject | LaViCDesktop append subscribers service:gaeactor_transmit_channel_service instance:transmit_channel_instance event:3093438464 total count:3
2023-12-19 18:23:13,861 INFO [default] 261 | gaeactortransmit::GaeactorTransmitProcessor::dealChannelObject | LaViCDesktop append subscribers service:gaeactor_transmit_channel_service instance:transmit_channel_instance event:2879528960 total count:4
2023-12-19 18:23:13,862 INFO [default] 261 | gaeactortransmit::GaeactorTransmitProcessor::dealChannelObject | LaViCDesktop append subscribers service:gaeactor_transmit_channel_service instance:transmit_channel_instance event:4066516992 total count:5
2023-12-19 18:23:13,862 INFO [default] 261 | gaeactortransmit::GaeactorTransmitProcessor::dealChannelObject | LaViCDesktop append subscribers service:gaeactor_transmit_channel_service instance:transmit_channel_instance event:2833391616 total count:6
2023-12-19 18:23:13,863 INFO [default] 261 | gaeactortransmit::GaeactorTransmitProcessor::dealChannelObject | LaViCDesktop append subscribers service:gaeactor_transmit_channel_service instance:transmit_channel_instance event:3005358080 total count:7
2023-12-19 18:23:13,864 INFO [default] 261 | gaeactortransmit::GaeactorTransmitProcessor::dealChannelObject | LaViCDesktop append subscribers service:gaeactor_transmit_channel_service instance:transmit_channel_instance event:3236044800 total count:8
2023-12-19 18:23:13,864 INFO [default] 261 | gaeactortransmit::GaeactorTransmitProcessor::dealChannelObject | LaViCDesktop append subscribers service:gaeactor_transmit_channel_service instance:transmit_channel_instance event:245506048 total count:9
2023-12-19 18:23:13,866 INFO [default] 261 | gaeactortransmit::GaeactorTransmitProcessor::dealChannelObject | LaViCDesktop append subscribers service:gaeactor_transmit_channel_service instance:transmit_channel_instance event:2980192256 total count:10
2023-12-19 18:23:13,866 INFO [default] 261 | gaeactortransmit::GaeactorTransmitProcessor::dealChannelObject | LaViCDesktop append subscribers service:gaeactor_transmit_channel_service instance:transmit_channel_instance event:2825003008 total count:11
2023-12-19 18:23:13,867 INFO [default] 261 | gaeactortransmit::GaeactorTransmitProcessor::dealChannelObject | LaViCDesktop append subscribers service:gaeactor_transmit_channel_service instance:transmit_channel_instance event:3366068224 total count:12
2023-12-19 18:23:13,867 INFO [default] 261 | gaeactortransmit::GaeactorTransmitProcessor::dealChannelObject | LaViCDesktop append subscribers service:gaeactor_transmit_channel_service instance:transmit_channel_instance event:3332513792 total count:13
2023-12-20 12:32:48,552 INFO [default] 355 | gaeactortransmit::GaeactorTransmitProcessor::createPublisherChannel | LaViCDesktop append reuse publishers service:LaViCDesktop_transmit_channel_service instance:transmit_channel_instance event:2552373248 total count:1
